name,district,type
Степанівська територіальна громада,Сумський,селищна
Степненська територіальна громада,Запорізький,сільська
Степногірська територіальна громада,Василівський,селищна
Степівська територіальна громада,Миколаївський,сільська
Сторожинецька територіальна громада,Чернівецький,міська
Стрижавська територіальна громада,Вінницький,селищна
Стрийська територіальна громада,Стрийський,міська
Стриївська територіальна громада,Звягельський,сільська
Стрюківська територіальна громада,Березівський,сільська
Стрілківська територіальна громада,Самбірський,сільська
Студениківська територіальна громада,Бориспільський,сільська
Студенянська територіальна громада,Тульчинський,сільська
Суботцівська територіальна громада,Кропивницький,сільська
Суворовська територіальна громада,Ізмаїльський,селищна
Судилківська територіальна громада,Шепетівський,сільська
Судововишнянська територіальна громада,Яворівський,міська
Сумська територіальна громада,Сумський,міська
Сурсько-Литовська територіальна громада,Дніпровський,сільська
Сутисківська територіальна громада,Вінницький,селищна
Сухополов'янська територіальна громада,Прилуцький,сільська
Сухоєланецька територіальна громада,Миколаївський,сільська
Сучевенська територіальна громада,Чернівецький,сільська
Східницька територіальна громада,Дрогобицький,селищна
Сюртівська територіальна громада,Ужгородський,сільська
Сєвєродонецька територіальна громада,Сіверськодонецький,міська
Сіверська територіальна громада,Бахмутський,міська
Тавричанська територіальна громада,Каховський,сільська
Таврійська територіальна громада,Запорізький,сільська
Таврійська територіальна громада,Каховський,міська
Талалаївська територіальна громада,Прилуцький,селищна
Талалаївська територіальна громада,Ніжинський,сільська
Тальнівська територіальна громада,Звенигородський,міська
Тараканівська територіальна громада,Дубенський,сільська
Тарашанська територіальна громада,Чернівецький,сільська
Таращанська територіальна громада,Білоцерківський,міська
Тарутинська територіальна громада,Болградський,селищна
Татарбунарська територіальна громада,Білгород-Дністровський,міська
Ташанська територіальна громада,Бориспільський,сільська
Таїровська територіальна громада,Одеський,селищна
Теофіпольська територіальна громада,Хмельницький,селищна
Теплицька територіальна громада,Гайсинський,селищна
Теплицька територіальна громада,Болградський,сільська
Теплодарська територіальна громада,Одеський,міська
Тереблеченська територіальна громада,Чернівецький,сільська
Теребовлянська територіальна громада,Тернопільський,міська
Тересвянська територіальна громада,Тячівський,селищна
Терешківська територіальна громада,Полтавський,сільська
Тернопільська територіальна громада,Тернопільський,міська
Тернуватська територіальна громада,Запорізький,селищна
Тернівська територіальна громада,Павлоградський,міська
Тернівська територіальна громада,Черкаський,сільська
Терпіннівська територіальна громада,Мелітопольський,сільська
Тетерівська територіальна громада,Житомирський,сільська
Тетіївська територіальна громада,Білоцерківський,міська
Тиврівська територіальна громада,Вінницький,селищна
Тисменицька територіальна громада,Івано-Франківський,міська
Тишківська територіальна громада,Новоукраїнський,сільська
Тлумацька територіальна громада,Івано-Франківський,міська
Товстенська територіальна громада,Чортківський,селищна
Токмацька територіальна громада,Пологівський,міська
Томаківська територіальна громада,Нікопольський,селищна
Томашпільська територіальна громада,Тульчинський,селищна
Томашівська територіальна громада,Фастівський,сільська
Топорівська територіальна громада,Чернівецький,сільська
Торецька територіальна громада,Бахмутський,міська
Торчинська територіальна громада,Луцький,селищна
Трибухівська територіальна громада,Чортківський,сільська
Тростянецька територіальна громада,Гайсинський,селищна
Тростянецька територіальна громада,Стрийський,сільська
Тростянецька територіальна громада,Охтирський,міська
Троїцька територіальна громада,Павлоградський,сільська
Троїцька територіальна громада,Сватівський,селищна
Трускавецька територіальна громада,Дрогобицький,міська
Тузлівська територіальна громада,Білгород-Дністровський,сільська
Тульчинська територіальна громада,Тульчинський,міська
Тупичівська територіальна громада,Чернігівський,сільська
Тур'є-Реметівська територіальна громада,Ужгородський,сільська
Турбівська територіальна громада,Вінницький,селищна
Турківська територіальна громада,Самбірський,міська
Турійська територіальна громада,Ковельський,селищна
Тягинська територіальна громада,Бериславський,сільська
Тячівська територіальна громада,Тячівський,міська
Углянська територіальна громада,Тячівський,сільська
Угринівська територіальна громада,Івано-Франківський,сільська
Удачненська територіальна громада,Покровський,селищна
Ужгородська територіальна громада,Ужгородський,міська
Узинська територіальна громада,Білоцерківський,міська
Українська територіальна громада,Синельниківський,сільська
Українська територіальна громада,Обухівський,міська
Уланівська територіальна громада,Хмільницький,сільська
Улашанівська територіальна громада,Шепетівський,сільська
Уманська територіальна громада,Уманський,міська
Усатівська територіальна громада,Одеський,сільська
Успенівська територіальна громада,Білгород-Дністровський,сільська
Устилузька територіальна громада,Володимирський,міська
Устинівська територіальна громада,Кропивницький,селищна
Усть-Путильська територіальна громада,Вижницький,сільська
Усть-Чорнянська територіальна громада,Тячівський,селищна
Ушомирська територіальна громада,Коростенський,сільська
Фастівська територіальна громада,Фастівський,міська
Федорівська територіальна громада,Пологівський,сільська
Феодосіївська територіальна громада,Обухівський,сільська
Фонтанська територіальна громада,Одеський,сільська
Фурсівська територіальна громада,Білоцерківський,сільська
Харитонівська територіальна громада,Житомирський,сільська
Харківська територіальна громада,Харківський,міська
Херсонська територіальна громада,Херсонський,міська
Хирівська територіальна громада,Самбірський,міська
Хлібодарівська територіальна громада,Волноваський,сільська
Хмельницька територіальна громада,Хмельницький,міська
Хмелівська територіальна громада,Роменський,сільська
Хмільницька територіальна громада,Хмільницький,міська
Ходорівська територіальна громада,Стрийський,міська
Холминська територіальна громада,Корюківський,селищна
Холмківська територіальна громада,Ужгородський,сільська
Хорольська територіальна громада,Лубенський,міська
Хоростківська територіальна громада,Чортківський,міська
Хорошівська територіальна громада,Житомирський,селищна
Хотинська територіальна громада,Дністровський,міська
Хотінська територіальна громада,Сумський,селищна
Хрестівська територіальна громада,Каховський,сільська
Христинівська територіальна громада,Уманський,міська
Хустська територіальна громада,Хустський,міська
Царичанська територіальна громада,Дніпровський,селищна
Цебриківська територіальна громада,Роздільнянський,селищна
Циблівська територіальна громада,Бориспільський,сільська
Циркунівська територіальна громада,Харківський,сільська
Цуманська територіальна громада,Луцький,селищна
Чабанівська територіальна громада,Фастівський,селищна
Чагорська територіальна громада,Чернівецький,сільська
Чаплинська територіальна громада,Каховський,селищна
Часовоярська територіальна громада,Бахмутський,міська
Чемеровецька територіальна громада,Кам’янець-Подільський,селищна
Червоненська територіальна громада,Бердичівський,селищна
Червоноградська територіальна громада,Шептицький,міська
Червоногригорівська територіальна громада,Нікопольський,селищна
Червонослобідська територіальна громада,Черкаський,сільська
Черкаська територіальна громада,Самарівський,селищна
Черкаська територіальна громада,Краматорський,селищна
Черкаська територіальна громада,Черкаський,міська
Чернелицька територіальна громада,Коломийський,селищна
Чернеччинська територіальна громада,Самарівський,сільська
Чернеччинська територіальна громада,Охтирський,сільська
Черняхівська територіальна громада,Житомирський,селищна
Чернівецька територіальна громада,Могилів-Подільський,селищна
Чернівецька територіальна громада,Чернівецький,міська
Чернігівська територіальна громада,Бердянський,селищна
Чернігівська територіальна громада,Чернігівський,міська
Чечельницька територіальна громада,Гайсинський,селищна
Чигиринська територіальна громада,Черкаський,міська
Чижівська територіальна громада,Звягельський,сільська
Чинадіївська територіальна громада,Мукачівський,селищна
Чкаловська територіальна громада,Мелітопольський,сільська
Чкаловська територіальна громада,Чугуївський,селищна
Чмирівська територіальна громада,Старобільський,сільська
Чогодарівська територіальна громада,Березівський,сільська
Чоповицька територіальна громада,Коростенський,селищна
Чопська територіальна громада,Ужгородський,міська
Чорнобаївська територіальна громада,Херсонський,сільська
Чорнобаївська територіальна громада,Золотоніський,селищна
Чорноморська територіальна громада,Миколаївський,сільська
Чорноморська територіальна громада,Одеський,міська
Чорноморська територіальна громада,Одеський,селищна
Чорноострівська територіальна громада,Хмельницький,селищна
Чорнухинська територіальна громада,Лубенський,селищна
Чортківська територіальна громада,Чортківський,міська
Чугуївська територіальна громада,Чугуївський,міська
Чудейська територіальна громада,Чернівецький,сільська
Чуднівська територіальна громада,Житомирський,міська
Чулаківська територіальна громада,Скадовський,сільська
Чумаківська територіальна громада,Дніпровський,сільська
Чупахівська територіальна громада,Охтирський,селищна
Чутівська територіальна громада,Полтавський,селищна
Шабівська територіальна громада,Білгород-Дністровський,сільська
Шалигинська територіальна громада,Шосткинський,селищна
Шаргородська територіальна громада,Жмеринський,міська
Шахівська територіальна громада,Покровський,сільська
Шацька територіальна громада,Ковельський,селищна
Швайківська територіальна громада,Бердичівський,сільська
Шевченківська територіальна громада,Миколаївський,сільська
Шевченківська територіальна громада,Куп’янський,селищна
Шевченківська територіальна громада,Звенигородський,сільська
Шегинівська територіальна громада,Яворівський,сільська
Шепетівська територіальна громада,Шепетівський,міська
Широківська територіальна громада,Криворізький,селищна
Широківська територіальна громада,Запорізький,сільська
Широківська територіальна громада,Щастинський,сільська
Широківська територіальна громада,Баштанський,сільська
Ширяївська територіальна громада,Березівський,селищна
Шишацька територіальна громада,Миргородський,селищна
Шосткинська територіальна громада,Шосткинський,міська
Шпанівська територіальна громада,Рівненський,сільська
Шпиківська територіальна громада,Тульчинський,селищна
Шполянська територіальна громада,Звенигородський,міська
Шрамківська територіальна громада,Золотоніський,сільська
Шульгинська територіальна громада,Старобільський,сільська
Шумська територіальна громада,Кременецький,міська
Щастинська територіальна громада,Щастинський,міська
Щербанівська територіальна громада,Полтавський,сільська
Щиборівська територіальна громада,Хмельницький,сільська
Щирецька територіальна громада,Львівський,селищна
Ювілейна територіальна громада,Херсонський,сільська
Южненська територіальна громада,Одеський,міська
Южноукраїнська територіальна громада,Вознесенський,міська
Юнаківська територіальна громада,Сумський,сільська
Юрковецька територіальна громада,Чернівецький,сільська
Юр’ївська територіальна громада,Павлоградський,селищна
Яблунівська територіальна громада,Косівський,селищна
Яблунівська територіальна громада,Прилуцький,сільська
Яворівська територіальна громада,Яворівський,міська
Яготинська територіальна громада,Бориспільський,міська
Якимівська територіальна громада,Мелітопольський,селищна
Якушинецька територіальна громада,Вінницький,сільська
Ямницька територіальна громада,Івано-Франківський,сільська
Ямпільська територіальна громада,Могилів-Подільський,міська
Ямпільська територіальна громада,Шосткинський,селищна
Ямпільська територіальна громада,Шепетівський,селищна
Яремчанська територіальна громада,Надвірнянський,міська
Яришівська територіальна громада,Могилів-Подільський,сільська
Ярмолинецька територіальна громада,Хмельницький,селищна
Ярославицька територіальна громада,Дубенський,сільська
Ярунська територіальна громада,Звягельський,сільська
Яськівська територіальна громада,Одеський,сільська
Ясінянська територіальна громада,Рахівський,селищна
